Name,Latitude,Longitude,Type,Maps_Link,Rainfall,Rainfall_Intensity,Elevation,Distance_to_Water_Body,Flood_Prone
Sardar Patel Cantonment General Hospital,18.5027163,73.87712,hospital,https://www.openstreetmap.org/?mlat=18.5027163&mlon=73.87712#map=18/18.5027163/73.87712,1,83.01154183321641,523.1299811760374,4.212327566824544,0
Command Hospital Southern Command,18.5005828,73.8894328,hospital,https://www.openstreetmap.org/?mlat=18.5005828&mlon=73.8894328#map=18/18.5005828/73.8894328,1,216.31683366602863,775.8600267256702,4.983768404723797,0
Sassoon Hospital,18.5251434,73.8695664,hospital,https://www.openstreetmap.org/?mlat=18.5251434&mlon=73.8695664#map=18/18.5251434/73.8695664,0,272.0416766875568,558.1124856358798,7.586811490520465,0
Karva Hospital,18.5009733,73.8461063,hospital,https://www.openstreetmap.org/?mlat=18.5009733&mlon=73.8461063#map=18/18.5009733/73.8461063,1,2.6348934639216504,560.0639377031046,6.374150738696728,0
Sahyadri Hospital,18.5074625,73.8057842,hospital,https://www.openstreetmap.org/?mlat=18.5074625&mlon=73.8057842#map=18/18.5074625/73.8057842,1,203.5503151819731,615.6126806128563,4.313980134105019,0
"Krishna Hospital, Pune",18.5092055,73.8128199,hospital,https://www.openstreetmap.org/?mlat=18.5092055&mlon=73.8128199#map=18/18.5092055/73.8128199,1,271.69572469773897,751.3978411525318,4.367412669285715,0
Madhukar General Hospital,18.4789234,73.8241232,hospital,https://www.openstreetmap.org/?mlat=18.4789234&mlon=73.8241232#map=18/18.4789234/73.8241232,1,36.82272257873067,709.1625173438233,4.4316157434434045,0
Dr. Mudgerikar Clinic,18.477378,73.819076,hospital,https://www.openstreetmap.org/?mlat=18.477378&mlon=73.819076#map=18/18.477378/73.819076,1,234.53637587819358,552.760597159018,2.224599459908477,1
Dr. Bodhe Clinic,18.4745186,73.8132288,hospital,https://www.openstreetmap.org/?mlat=18.4745186&mlon=73.8132288#map=18/18.4745186/73.8132288,1,265.4332270853744,510.0395153077345,2.8689790299531692,1
Dr. Naik Clinic,18.4745644,73.8140764,hospital,https://www.openstreetmap.org/?mlat=18.4745644&mlon=73.8140764#map=18/18.4745644/73.8140764,1,147.76547384777612,675.1709923215146,4.295885566131909,0
Trimurti Hospital,18.462396,73.8150518,hospital,https://www.openstreetmap.org/?mlat=18.462396&mlon=73.8150518#map=18/18.462396/73.8150518,1,203.805973692828,885.318091216692,5.654237667711136,0
Sanjiwini Hospital,18.4433669,73.848079,hospital,https://www.openstreetmap.org/?mlat=18.4433669&mlon=73.848079#map=18/18.4433669/73.848079,1,180.89263381483343,816.6126842421284,6.802265324769371,0
Surya Sahyadri Hospital,18.521259,73.8556767,hospital,https://www.openstreetmap.org/?mlat=18.521259&mlon=73.8556767#map=18/18.521259/73.8556767,0,218.40775711017665,890.0199705094822,3.258114922414114,0
Gupte Hospital Of Accurate Diagnostics Pvt Ltd,18.519051,73.8398724,hospital,https://www.openstreetmap.org/?mlat=18.519051&mlon=73.8398724#map=18/18.519051/73.8398724,0,48.831841235842845,504.19814915947836,5.683858102289239,0
"Naik Hospital, Pune",18.5102879,73.8594694,hospital,https://www.openstreetmap.org/?mlat=18.5102879&mlon=73.8594694#map=18/18.5102879/73.8594694,0,174.0417953915841,775.0776426162458,2.9623292247129216,0
Satyanand Hospital,18.4707709,73.8886878,hospital,https://www.openstreetmap.org/?mlat=18.4707709&mlon=73.8886878#map=18/18.4707709/73.8886878,1,130.4607198520522,748.7949061493414,8.690718953162666,0
Bora Hospital,18.511463,73.8625468,hospital,https://www.openstreetmap.org/?mlat=18.511463&mlon=73.8625468#map=18/18.511463/73.8625468,0,145.35869931730997,712.2791454255396,3.3664003501508857,0
Patil Hospital,18.4791887,73.8247015,hospital,https://www.openstreetmap.org/?mlat=18.4791887&mlon=73.8247015#map=18/18.4791887/73.8247015,1,253.671621259736,847.5078639261326,5.9669117531622495,0
Golwilkar Metropolis Heath Service (India) Pvt Ltd,18.5181296,73.8344155,hospital,https://www.openstreetmap.org/?mlat=18.5181296&mlon=73.8344155#map=18/18.5181296/73.8344155,0,224.33155988297932,778.263807521864,9.654535307857367,0
Paranjape Hospital,18.5143979,73.8460515,hospital,https://www.openstreetmap.org/?mlat=18.5143979&mlon=73.8460515#map=18/18.5143979/73.8460515,0,290.62165618963786,646.2757681110728,8.706222290900044,0
Pulse Hospital,18.4594817,73.8233106,hospital,https://www.openstreetmap.org/?mlat=18.4594817&mlon=73.8233106#map=18/18.4594817/73.8233106,1,195.00253072664196,643.0278612357595,8.712598017624533,0
ONP Leela Hospital,18.5329215,73.8468085,hospital,https://www.openstreetmap.org/?mlat=18.5329215&mlon=73.8468085#map=18/18.5329215/73.8468085,0,125.35361296752048,883.8205736741372,6.951637574001933,0
Meera Hospital,18.5022882,73.8746894,hospital,https://www.openstreetmap.org/?mlat=18.5022882&mlon=73.8746894#map=18/18.5022882/73.8746894,1,292.23414191810053,839.1980008936036,9.529007376544461,0
Seth Ramdas Shah Memorial Hospital and Research Centre,18.5293628,73.8284091,hospital,https://www.openstreetmap.org/?mlat=18.5293628&mlon=73.8284091#map=18/18.5293628/73.8284091,0,261.7326852459541,625.666611913412,3.7322708851084405,0
